ID,FoodGroup,ShortDescrip,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,diabetes_nutrient_density
7203,Sausages and Luncheon Meats,"OSCAR MAYER,BOLOGNA (FAT FREE)","OSCAR MAYER, Bologna (fat free)",0,0,0,79.0,12.6,0.6,6.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,0.92,22.0,0.0,154.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0002222222222222,0.0523809523809523,0.22,0.0,0.1036363636363636,122.37974683544304
11237,Vegetables and Vegetable Products,"KANPYO,(DRIED GOURD STRIPS)","Kanpyo, (dried gourd strips)",0,0,0,258.0,8.58,0.56,65.03,0.0,9.8,0.0,0.532,0.0,0.2,0.0,61.0,2.9,0.044,0.0,280.0,0.433,5.12,125.0,1.137,188.0,2.6,5.86,0.0,0.3129411764705883,0.0,0.0022222222222222,0.0,0.1525,0.18125,0.0338461538461538,0.0,0.2333333333333333,0.0004811111111111,0.2976190476190476,0.2685714285714285,0.0472727272727272,0.5327272727272727,122.34108527131784
6008,"Soups, Sauces, and Gravies","SOUP,BF BROTH OR BOUILLON CND,RTS","Soup, beef broth or bouillon canned, ready-to-serve",0,0,0,7.0,1.14,0.22,0.04,0.0,0.0,0.0,0.01,0.07,0.0,0.0,2.0,0.78,0.021,0.002,6.0,0.0,0.17,2.0,0.01,13.0,0.7,0.0,0.0,0.0058823529411764,0.0291666666666666,0.0,0.0,0.005,0.04875,0.0161538461538461,0.0016666666666666,0.005,0.0,0.0047619047619047,0.0185714285714285,0.0127272727272727,0.0,122.28571428571426
13647,Beef Products,"BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW","Beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw","URMIS #1132, URMIS #1133, Beef, Chuck, Clod (Shoulder) Roast or Steak",0,0,123.0,21.64,4.09,0.0,0.0,0.0,2.0,0.583,2.76,0.0,0.18,3.0,4.618,0.212,0.09,12.0,0.074,2.64,25.0,0.013,236.0,24.1,6.86,0.0022222222222222,0.3429411764705882,1.15,0.0,0.012,0.0075,0.288625,0.163076923076923,0.075,0.01,8.222222222222222e-05,0.0595238095238095,0.3371428571428571,0.4381818181818182,0.6236363636363637,122.17886178861792
20143,Cereal Grains and Pasta,"TEFF,CKD","Teff, cooked",0,0,Eragrostis tef (Zuccagni) Trotter,101.0,3.87,0.65,19.86,0.0,2.8,0.0,0.097,0.0,0.0,0.0,18.0,0.909,0.033,0.183,49.0,0.226,2.05,50.0,2.86,120.0,0.0,1.11,0.0,0.0570588235294117,0.0,0.0,0.0,0.045,0.0568125,0.0253846153846153,0.1525,0.0408333333333333,0.0002511111111111,0.119047619047619,0.1714285714285714,0.0,0.1009090909090909,122.07920792079207
12087,Nut and Seed Products,"NUTS,CASHEW NUTS,RAW","Nuts, cashew nuts, raw",0,0,Anacardium occidentale,553.0,18.22,43.85,30.19,5.91,3.3,0.0,0.417,0.0,0.5,0.9,25.0,1.062,0.058,0.423,37.0,2.195,6.68,292.0,1.655,593.0,19.9,5.78,0.0,0.2452941176470588,0.0,0.0055555555555555,0.06,0.0625,0.066375,0.0446153846153846,0.3525,0.0308333333333333,0.0024388888888888,0.6952380952380952,0.8471428571428572,0.3618181818181818,0.5254545454545455,122.06871609403254
35169,American Indian/Alaska Native Foods,"FISH,SHEEFISH,RAW (ALASKA NATIVE)","Fish, sheefish, raw (Alaska Native)",0,0,0,115.0,22.25,2.84,0.0,0.0,0.0,0.0,0.162,5.9,0.0,0.44,9.0,2.12,0.126,0.041,140.0,0.148,0.5,25.0,0.037,300.0,42.3,0.6,0.0,0.0952941176470588,2.458333333333333,0.0,0.0293333333333333,0.0225,0.1325,0.0969230769230769,0.0341666666666666,0.1166666666666666,0.0001644444444444,0.0595238095238095,0.4285714285714285,0.769090909090909,0.0545454545454545,121.91304347826086
1086,Dairy and Egg Products,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D","Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",0,0,0,37.0,3.57,0.25,5.02,5.02,0.0,64.0,0.046,0.39,1.0,0.01,5.0,0.091,0.175,0.041,129.0,0.011,0.05,15.0,0.002,104.0,2.2,0.41,0.0711111111111111,0.0270588235294117,0.1625,0.0111111111111111,0.0006666666666666,0.0125,0.0056875,0.1346153846153846,0.0341666666666666,0.1075,1.222222222222222e-05,0.0357142857142857,0.1485714285714285,0.04,0.0372727272727272,121.89189189189187
11918,Vegetables and Vegetable Products,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,WO/ SALT","Peppers, sweet, red, frozen, chopped, boiled, drained, without salt",0,0,0,16.0,0.95,0.18,3.31,2.86,0.8,96.0,0.108,0.0,41.2,1.08,10.0,1.082,0.031,0.051,8.0,0.044,0.52,7.0,0.097,13.0,0.2,0.05,0.1066666666666666,0.0635294117647058,0.0,0.4577777777777778,0.072,0.025,0.067625,0.0238461538461538,0.0424999999999999,0.0066666666666666,4.888888888888888e-05,0.0166666666666666,0.0185714285714285,0.0036363636363636,0.0045454545454545,121.875
11919,Vegetables and Vegetable Products,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,W/ SALT","Peppers, sweet, red, frozen, chopped, boiled, drained, with salt",0,0,0,16.0,0.95,0.18,3.31,2.86,0.8,96.0,0.108,0.0,41.2,1.08,10.0,1.082,0.031,0.051,8.0,0.044,0.52,7.0,0.097,13.0,0.2,0.05,0.1066666666666666,0.0635294117647058,0.0,0.4577777777777778,0.072,0.025,0.067625,0.0238461538461538,0.0424999999999999,0.0066666666666666,4.888888888888888e-05,0.0166666666666666,0.0185714285714285,0.0036363636363636,0.0045454545454545,121.875
